CUSIP
TREX
KR
CTSH
TGP
SLAB
BAC
LITE
LGND
MIME
HALO
ITT
CDNA
REGN
REAL
LOVE
EVRG
DG
CONE
BBY
VRNS
ALXN
PENN
PNC
JPM
IAA
WMS
CI
VICR
NVCR
RBC
JBT
XPER
IPHI
BCOW
GPI
GOOGL
CB
GNRC
BAND
BRK.B
AMGN
SUM
EVRI
PFE
ATSG
PLMR
PHR
NKE
GDOT
QTRX
SNY
DAVA
LOW
CALX
ANTM
CMCSA
KAR
CLDR
MO
RGEN
FCN
TECH
UPS
LPRO
GLE.FR
RHLD.CH
TENB
CVS
DCPH
NTRA
NWL
KRNT
UNH
PPL
ADTN
AXP
UPWK
VZ
PS
TXRH
ADPT
VSTO
RGNX
LLY
DOX
CBRE
MTB
STAA
PGTI
COF
GPRE
CSCO
ICFI
HLNE
EHTH
OC
VST
EXC
HUM
